2020-11-08 21:46:49.180 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.14.Final
2020-11-08 21:46:49.213 [main] INFO  com.sst.App - Starting App on DESKTOP-OFF6OBD with PID 11160 (E:\seckill2\shoppings\target\classes started by Administrator in E:\seckill2\shoppings)
2020-11-08 21:46:49.217 [main] INFO  com.sst.App - No active profile set, falling back to default profiles: default
2020-11-08 21:46:50.567 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-08 21:46:50.576 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-08 21:46:50.625 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 Redis repository interfaces.
2020-11-08 21:46:51.576 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-11-08 21:46:51.588 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2020-11-08 21:46:51.589 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-08 21:46:51.589 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-08 21:46:51.705 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-08 21:46:51.705 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2336 ms
2020-11-08 21:46:53.203 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-08 21:46:53.358 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-08 21:46:53.868 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2020-11-08 21:46:53.905 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-11-08 21:46:53.920 [main] INFO  com.sst.App - Started App in 5.307 seconds (JVM running for 7.192)
2020-11-08 21:47:53.912 [http-nio-80-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-08 21:47:53.913 [http-nio-80-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-08 21:47:53.923 [http-nio-80-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2020-11-08 21:47:54.133 [http-nio-80-exec-3] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getContent(),[]
2020-11-08 21:47:54.133 [http-nio-80-exec-4] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 21:47:54.483 [http-nio-80-exec-4] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()。参数为：[]
2020-11-08 21:47:54.483 [http-nio-80-exec-3] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.ContentServiceImpl.getContentAndCategory()。参数为：[]
2020-11-08 21:47:54.557 [http-nio-80-exec-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-11-08 21:47:54.752 [http-nio-80-exec-3] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.ContentModel@68ab630d, com.sst.service.model.ContentModel@3db53c9d, com.sst.service.model.ContentModel@c94b46e]
2020-11-08 21:47:54.752 [http-nio-80-exec-3] INFO  com.sst.log.Log - List com.sst.service.impl.ContentServiceImpl.getContentAndCategory()执行完成。 后置
2020-11-08 21:47:54.754 [http-nio-80-exec-4] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsCategoryModel@7637fff8, com.sst.service.model.GoodsCategoryModel@12e4858b, com.sst.service.model.GoodsCategoryModel@2c2c47c3]
2020-11-08 21:47:54.755 [http-nio-80-exec-4] INFO  com.sst.log.Log - List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()执行完成。 后置
2020-11-08 21:47:55.448 [http-nio-80-exec-5] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 21:47:55.610 [http-nio-80-exec-7] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@485bdfc8]
2020-11-08 21:47:55.613 [http-nio-80-exec-7] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsListByOne(Integer),[1]
2020-11-08 21:47:55.614 [http-nio-80-exec-7] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsServiceImpl.getGoodsListByOne(Integer)。参数为：[1]
2020-11-08 21:47:55.630 [http-nio-80-exec-7] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsModel@1892573b, com.sst.service.model.GoodsModel@303c7ce3]
2020-11-08 21:47:55.630 [http-nio-80-exec-7] INFO  com.sst.log.Log - List com.sst.service.impl.GoodsServiceImpl.getGoodsListByOne(Integer)执行完成。 后置
2020-11-08 21:47:57.055 [http-nio-80-exec-8] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 21:47:57.202 [http-nio-80-exec-10] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@44287cfa]
2020-11-08 21:47:57.203 [http-nio-80-exec-10] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 21:47:57.203 [http-nio-80-exec-10] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 21:47:57.248 [http-nio-80-exec-10] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@1d2440c8
